epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1277.72,0.78391,0.53708,0.90909,0.75955,0.72054,0.76924,0.46021,1.32091,0.94812,1.17638,0.000415167,0.000415167,0.000415167
78,1294.14,0.76959,0.5278,0.91397,0.81135,0.69247,0.76807,0.47169,1.3188,0.90786,1.1658,0.000409669,0.000409669,0.000409669
79,1310.64,0.78976,0.53372,0.91535,0.78222,0.69246,0.75642,0.45692,1.26096,0.98601,1.12561,0.000404172,0.000404172,0.000404172
80,1327.14,0.78766,0.53023,0.91096,0.86022,0.59705,0.74572,0.45952,1.26775,1.05217,1.12513,0.000398674,0.000398674,0.000398674
81,1343.81,0.78087,0.53773,0.91022,0.8113,0.67098,0.76046,0.46701,1.26141,0.96217,1.10938,0.000393176,0.000393176,0.000393176
82,1360.34,0.7787,0.53552,0.90123,0.78227,0.70461,0.77119,0.46845,1.2685,0.9579,1.11597,0.000387678,0.000387678,0.000387678
83,1376.96,0.77384,0.52338,0.91224,0.75361,0.73424,0.77743,0.47339,1.24562,0.91933,1.12831,0.00038218,0.00038218,0.00038218
84,1393.4,0.7547,0.5087,0.89752,0.82456,0.67273,0.76788,0.46121,1.28952,0.93518,1.13772,0.000376683,0.000376683,0.000376683
85,1410,0.77959,0.51738,0.91434,0.81946,0.7029,0.7824,0.46611,1.33517,0.93097,1.15078,0.000371185,0.000371185,0.000371185
86,1426.71,0.75064,0.51666,0.90953,0.83605,0.6884,0.78442,0.46608,1.31807,0.97979,1.12699,0.000365687,0.000365687,0.000365687
87,1443.16,0.75431,0.51701,0.90398,0.78657,0.70826,0.77474,0.47451,1.23032,0.9069,1.116,0.000360189,0.000360189,0.000360189
88,1459.76,0.74359,0.50119,0.89637,0.78151,0.73957,0.78058,0.48035,1.24306,0.90913,1.11182,0.000354691,0.000354691,0.000354691
